FEATURE_NAME	STATE_ALPHA	PRIM_LAT_DEC	PRIM_LONG_DEC		
Cashion	AZ	33.4353203	-112.2979334		
Castle Dome Peak	AZ	33.0844831	-114.1432722		
Centennial Wash	AZ	33.2769874	-112.8062837		
Cerbat Mountains	AZ	35.4311041	-114.1677334		
Chandler	AZ	33.3061605	-111.8412502		
Chandler Heights	AZ	33.2119977	-111.6862444		
Chediski Peak	AZ	34.1833775	-110.6640091		
Chilchinbito	AZ	36.527222	-110.0823452		
Childs	AZ	32.4528348	-112.8434877		
Chinle	AZ	36.1544483	-109.5526072		
Chinle Valley	AZ	36.8161128	-109.7087228		
Chino Station	AZ	35.3319487	-112.9412971		
Chiricahua Mountains	AZ	31.9298117	-109.3822849		
Chiricahua National Monument	AZ	32.0045318	-109.3567287		
Chiricahua Peak	AZ	31.8464821	-109.2914511		
Chloride	AZ	35.4144379	-114.1994006		
Christmas	AZ	33.0622863	-110.7426052		
Chuichu	AZ	32.752002	-111.7831837		
Cibecue Peak	AZ	33.9586594	-110.3781646		
Citrus Valley	AZ	33.0444907	-112.9821202		
Cochise	AZ	32.1136897	-109.9217343		
Cocks Combs	AZ	36.3685953	-112.0057257		
Coconino Plateau	AZ	35.8333209	-112.5021238		
Cocopah Reservation	AZ	32.612855	-114.803933		
Colorado City	AZ	36.9902621	-112.9757702		
Comobabi	AZ	32.05813	-111.8001234		
Concho	AZ	34.4753132	-109.6059405		
Concho Lake	AZ	34.4489255	-109.6284395		
Congress	AZ	34.162526	-112.8507374		
Coolidge	AZ	32.977839	-111.517624		
Cottonwood Mountains	AZ	35.3316653	-113.567716		
Cowlic	AZ	31.8084129	-111.9890131		
Coyote Mountains	AZ	31.9989669	-111.5367781		
Date Creek Mountains	AZ	34.2297464	-112.9337962		
Dateland	AZ	32.7964368	-113.5410275		
Davis Dam	AZ	35.1799991	-114.5663541		
Deer Valley	AZ	33.6172619	-112.1668204		
Mount Dellenbaugh	AZ	36.1085951	-113.5413273		
Detrital Valley	AZ	36.0522055	-114.4705295		
Dennehotso	AZ	36.8458351	-109.8465046		
Dome	AZ	32.7553236	-114.3621667		
Dome Rock Mountains	AZ	33.6908566	-114.3371738		
Dos Cabezas	AZ	32.1753571	-109.6133977		
Dos Cabezas Mountains	AZ	32.208412	-109.5758974		
Douglas	AZ	31.3445471	-109.5453447		
Dragoon Mountains	AZ	31.9395283	-109.9820136		
Dripping Spring Mountains	AZ	33.0831191	-110.8131631		
Eagletail Mountains	AZ	33.4417038	-113.3601943		
Echo Cliffs	AZ	36.4124889	-111.525428		
Ehrenberg	AZ	33.6041914	-114.5252322		
El Mirage	AZ	33.6130942	-112.3246042		
Elfrida	AZ	31.6853714	-109.6870138		
Eloy	AZ	32.7558962	-111.554844		
Fairbank (historical)	AZ	31.7231456	-110.1884107		
Florence	AZ	33.0314508	-111.3873431		
Fort Apache Reservation	AZ	33.928556	-110.131999		
Fortification Hill	AZ	36.0441476	-114.6813702		
Franklin	AZ	32.6775723	-109.0792285		
Fredonia	AZ	36.945542	-112.5265889		
Galiuro Mountains	AZ	32.4583333	-110.2447222		
Ganado	AZ	35.7114022	-109.5420492		
Gila Bend	AZ	32.9478236	-112.7168305		
Gila Bend Mountains	AZ	33.2225429	-113.0379576		
Gila Mountains	AZ	33.1153371	-109.8553609		
Gila Mountains	AZ	32.5750511	-114.3099422		
Gilbert	AZ	33.3528264	-111.789027		
Gleeson	AZ	31.7339802	-109.8297941		
Glen Canyon Dam	AZ	36.9374881	-111.484325		
Glenbar	AZ	32.9167304	-109.8581374		
Glendale	AZ	33.5386523	-112.1859866		
Mount Graham	AZ	32.7017351	-109.8714684		
Grand Canyon	AZ	36.0544273	-112.139336		
Granite Gorge	AZ	36.3680377	-112.470183		
Gray Mountain	AZ	35.7458313	-111.473479		
Grayback Mountain	AZ	34.415578	-113.0124111		
Growler Mountains	AZ	32.2428367	-113.0279399		
Santa Rosa	AZ	32.3236779	-112.0412468		
Gu Oidak	AZ	31.9217424	-112.0434603		
Guadalupe	AZ	33.3708798	-111.9629216		
Hackberry	AZ	35.3691614	-113.7271643		
Harcuvar	AZ	33.7600307	-113.6532641		
Harquahala Mountains	AZ	33.811698	-113.3638095		
Harquahala Plain	AZ	33.6030903	-113.3432514		
Hassayampa Plain	AZ	33.7716997	-112.9207363		
Hayden	AZ	33.0047879	-110.7853836		
Hereford	AZ	31.4384325	-110.0978554		
Hidden Canyon	AZ	36.5402584	-113.7744011		
Hieroglyphic Mountains	AZ	33.922255	-112.4910049		
Higley	AZ	33.3072727	-111.7209689		
Holbrook	AZ	34.9022483	-110.1581768		
Holy Joe Peak	AZ	32.8361777	-110.5392634		
Hoover Dam	AZ	36.0160918	-114.7380381		
Hotevilla	AZ	35.9277802	-110.6729158		
Hualapai Mountains	AZ	34.900008	-113.8841121		
Hualapai Peak	AZ	35.0750038	-113.9007803		
Hurricane Cliffs	AZ	36.7199839	-113.2696701		
Hyder	AZ	33.0164345	-113.3487998		
Imperial National Wildlife Refuge	AZ	33.0742054	-114.6819014		
Jacob Lake	AZ	36.7133235	-112.2162896		
Joseph City	AZ	34.9558574	-110.334014		
Kaibab Plateau	AZ	36.58332	-112.1673981		
Kaibito Creek	AZ	36.8583267	-111.2140364		
Kaibito Plateau	AZ	36.4486039	-111.2868119		
Kanab Creek	AZ	36.3922051	-112.6299121		
Kanab Plateau	AZ	36.4383159	-112.8821454		
Kayenta	AZ	36.7277769	-110.2545767		
Keams Canyon	AZ	35.812506	-110.1951253		
Keystone Peak	AZ	31.8770278	-111.2150974		
King Valley	AZ	33.0105969	-113.8377064		
Kingman	AZ	35.189443	-114.0530065		
Kirkland Junction	AZ	34.3691922	-112.6651758		
Kofa Game Range	AZ	33.2528127	-114.0021576		
Kofa Mountains	AZ	33.3300344	-113.9535457		
La Palma	AZ	32.8792291	-111.5151224		
Lake Havasu City	AZ	34.483901	-114.3224548		
Laveen	AZ	33.3628228	-112.169317		
Lechuguilla Desert	AZ	32.4181104	-113.9832679		
Little Horn Mountains	AZ	33.363647	-113.6860375		
Littlefield	AZ	36.8871992	-113.9296876		
Lower Granite Gorge	AZ	36.1333194	-113.956068		
Lukachukai	AZ	36.416946	-109.2287125		
Lukachukai Mountains	AZ	36.4844455	-109.2037118		
Lukeville	AZ	31.8825681	-112.8157127		
Lupton	AZ	35.3539127	-109.0537017		
Lyman Lake	AZ	34.3569852	-109.3570385		
Mammoth	AZ	32.722568	-110.6406547		
Marana	AZ	32.436738	-111.2253822		
Marble Canyon	AZ	36.1916528	-111.8007144		
Marcou Mesa	AZ	35.0644657	-110.221513		
Maricopa	AZ	33.0581063	-112.0476423		
Maricopa Mountains	AZ	32.9883773	-112.5182125		
Martinez Lake	AZ	32.9797627	-114.4743929		
McNeal	AZ	31.6012067	-109.6700697		
Lake Mead	AZ	36.0155363	-114.7377602		
Mesa	AZ	33.4222685	-111.8226402		
Mescal Mountains	AZ	33.1695057	-110.713161		
Mobile	AZ	33.0553257	-112.2718157		
Moccasin	AZ	36.9094295	-112.7588162		
Moenkopi	AZ	36.1111043	-111.2223624		
Moenkopi Wash	AZ	35.8902726	-111.4454209		
Mohave Valley	AZ	35.1194441	-114.621633		
Lake Mohave	AZ	35.1991655	-114.5710766		
Mohawk Mountains	AZ	32.5906064	-113.647697		
Mohawk Valley	AZ	32.6861587	-114.1941057		
Mohon Mountains	AZ	34.9466795	-113.2965927		
Morristown	AZ	33.8566993	-112.6232297		
Muggins Mountains	AZ	32.7450461	-114.2032728		
Mule Mountains	AZ	31.4442661	-109.8625737		
Music Mountains	AZ	35.6558235	-113.8371706		
Naco	AZ	31.3353801	-109.9481297		
Natanes Mountains	AZ	33.4058876	-109.9239775		
Navajo	AZ	35.1241907	-109.5381655		
Navajo Creek	AZ	36.973878	-111.3896001		
Navajo National Monument	AZ	36.6863875	-110.5365274		
Nelson	AZ	35.5141598	-113.3202086		
Newberry Mesa	AZ	35.4280636	-110.9306958		
North Rim	AZ	36.2105382	-112.0612802		
Page	AZ	36.9147222	-111.4558333		
Painted Desert	AZ	35.5002883	-110.0840117		
Palo Verde	AZ	33.3480976	-112.6773908		
Palomas Plain	AZ	33.2755933	-113.6646464		
Paradise Valley	AZ	33.5311541	-111.9426452		
Parashant Canyon	AZ	36.0949834	-113.3238218		
Paria Plateau	AZ	36.8155425	-111.941562		
Paria River	AZ	36.8585987	-111.6007163		
Parker	AZ	34.1500162	-114.2891177		
Pastora Peak	AZ	36.7902775	-109.1645463		
Paul Spur	AZ	31.3662127	-109.7345151		
Peach Springs	AZ	35.5291589	-113.425491		
Peach Springs Canyon	AZ	35.7588774	-113.3610439		
Peacock Mountains	AZ	35.3163846	-113.7757764		
Pearce	AZ	31.9050865	-109.8206232		
Peoria	AZ	33.5805955	-112.2373779		
Peridot	AZ	33.3103355	-110.4553768		
Perilla Mountains	AZ	31.4098233	-109.4258981		
Mount Perkins	AZ	35.5699915	-114.5085789		
Pica	AZ	35.4572187	-113.1371432		
Picacho	AZ	32.716176	-111.4953971		
Picacho Mountains	AZ	32.7981227	-111.3673388		
Picacho Reservoir	AZ	32.8511744	-111.4895657		
Pima	AZ	32.8961755	-109.8275815		
Pinaleno Mountains	AZ	32.6409017	-109.8436887		
Pine Peak	AZ	34.8741751	-113.8568889		
Pinon	AZ	36.1008342	-110.2259609		
Pipe Spring National Monument	AZ	36.86193	-112.7371473		
Pisinimo	AZ	32.0350711	-112.3151353		
Lake Pleasant	AZ	33.8533682	-112.2693283		
Plomosa Mountains	AZ	33.7000274	-114.0507766		
Point Imperial	AZ	36.278317	-111.9776676		
Polacca	AZ	35.8366716	-110.3815198		
Portal	AZ	31.9137028	-109.1414495		
Poverty Mountain	AZ	36.4030359	-113.4991106		
Pueblo Colorado Wash	AZ	35.2722378	-110.1479022		
Puerco Ridge	AZ	34.9091946	-109.5598313		
Quijotoa Valley	AZ	31.9745168	-112.3601363		
Rainbow Plateau	AZ	36.9538811	-111.2118159		
Rainbow Valley	AZ	33.2833768	-112.5423851		
Randolph	AZ	32.9170064	-111.5148453		
Ranegras Plain	AZ	33.6544752	-113.8104903		
Red Lake	AZ	35.6730464	-114.0677333		
Rillito	AZ	32.4147944	-111.1562145		
Roll	AZ	32.7517127	-113.9890993		
Roskruge Mountains	AZ	32.2225747	-111.4239976		
Sacramento Wash	AZ	34.7302848	-114.4880169		
Safford	AZ	32.8339546	-109.70758		
Saint David	AZ	31.9042517	-110.2142399		
Saint Johns	AZ	34.5058698	-109.3609327		
Saint Michaels	AZ	35.6447402	-109.0956492		
Salina	AZ	36.022227	-109.8673365		
Salome	AZ	33.7811416	-113.6146517		
San Bernardino Valley	AZ	31.3534369	-109.2614489		
San Carlos	AZ	33.3453349	-110.4531551		
San Carlos Reservoir	AZ	33.1750609	-110.5256552		
San Carlos River	AZ	33.1989481	-110.4109296		
San Simon	AZ	32.2678563	-109.2275596		
San Simon Valley	AZ	32.8017327	-109.6328555		
Sand Tank Mountains	AZ	32.7244939	-112.4445918		
Sanders	AZ	35.2164137	-109.3337118		
Santa Cruz Flats	AZ	32.7395064	-111.6048452		
Santa Rosa Valley	AZ	32.703945	-111.9256876		
Sanup Plateau	AZ	36.0638757	-113.7191131		
Sasabe	AZ	31.4887016	-111.5420505		
Scottsdale	AZ	33.5092103	-111.8990327		
Seligman	AZ	35.3255608	-112.8774057		
Sells	AZ	31.9120215	-111.881234		
Sentinel	AZ	32.8581047	-113.2132371		
Shivwits Plateau	AZ	36.416647	-113.5010558		
Sierra Estrella	AZ	33.2147695	-112.2143165		
Sierra Pinta	AZ	32.2631118	-113.5429672		
Sierra Vista	AZ	31.5545394	-110.3036912		
Sierrita Mountains	AZ	31.8778613	-111.1950968		
Sil Nakya	AZ	32.221739	-111.8165159		
Silver Bell Mountains	AZ	32.4142365	-111.4987253		
Somerton	AZ	32.5964404	-114.709677		
Sonora	AZ	33.1653384	-110.9959472		
South Tucson	AZ	32.199521	-110.968425		
Stanfield	AZ	32.8825532	-111.9620805		
Steamboat Canyon	AZ	35.748065	-109.8506694		
Sulphur Springs Valley	AZ	32.4986824	-110.0309102		
Sun City	AZ	33.5975393	-112.2718239		
Swisshelm Mountains	AZ	31.6745389	-109.5353446		
Table Top	AZ	32.7592181	-112.1251384		
Tank Mountains	AZ	33.1603174	-113.6957578		
Teec Nos Pos	AZ	36.9211097	-109.0856582		
Tempe	AZ	33.414768	-111.9093095		
Thatcher	AZ	32.8492323	-109.7592479		
Theba	AZ	32.9194921	-112.8946145		
Tinajas Altas Mountains	AZ	32.3597806	-114.1052161		
Mount Tipton	AZ	35.5388804	-114.1927349		
Tolleson	AZ	33.4500425	-112.259321		
Toltec	AZ	32.7922834	-111.6148463		
Tombstone	AZ	31.7128683	-110.0675764		
Tonopah	AZ	33.49365	-112.9371249		
Tonopah Desert	AZ	33.5514267	-112.9468477		
Topawa	AZ	31.8139694	-111.8256756		
Tortilla Mountains	AZ	32.9406223	-110.9409429		
Trigo Mountains	AZ	33.3047552	-114.5471753		
Mount Trumbull	AZ	36.4119253	-113.3254964		
Truxton	AZ	35.4849925	-113.563551		
Tuba City	AZ	36.1349928	-111.2398625		
Tucson Mountains	AZ	32.2300761	-111.0975965		
Tule Desert	AZ	32.2728352	-113.6396396		
Vail	AZ	32.0478583	-110.7120272		
Valentine	AZ	35.3874951	-113.6577185		
Vermilion Cliffs	AZ	36.9252627	-112.8418753		
Vicksburg	AZ	33.7444747	-113.7521564		
Vulture Mountains	AZ	33.885031	-112.794623		
Ward Terrace	AZ	35.8130522	-111.2254198		
Wellton	AZ	32.6728256	-114.1468821		
Wenden	AZ	33.8225302	-113.5415936		
White Hills	AZ	35.8880428	-114.3519117		
White Mesa	AZ	36.6347112	-111.5693221		
White Tank Mountains	AZ	33.5319833	-112.5732228		
Whitlock Mountains	AZ	32.5984033	-109.4022895		
Wickenburg	AZ	33.9686412	-112.729622		
Wide Ruin Wash	AZ	35.2258522	-109.8609521		
Willcox	AZ	32.2528519	-109.8320124		
Willcox Playa	AZ	32.1395227	-109.8467336		
Willow Mountain	AZ	33.4619994	-109.5939742		
Winchester Mountains	AZ	32.3411838	-110.0728513		
Winkelman	AZ	32.9875659	-110.7709387		
Winslow	AZ	35.0241873	-110.6973571		
Wittmann	AZ	33.7764231	-112.5285046		
Wood Mountain	AZ	32.1211945	-109.3339503		
Yampai	AZ	35.489439	-113.2004805		
Yarnell	AZ	34.2216927	-112.7474007		
Yucca	AZ	34.8722287	-114.1493965		
Yuma	AZ	32.7253249	-114.624397		
Zion Reservoir	AZ	34.6097546	-109.4798286		
Gila Bend Indian Reservation (historical)	AZ	33.0083784	-112.7673894		
Organ Pipe Cactus National Monument	AZ	32.0417302	-112.8754369		
San Xavier Indian Reservation (historical)	AZ	32.0500794	-111.0839841		
Cibola National Wildlife Refuge	AZ	33.3116995	-114.6891244		
Colorado River Reservation	AZ	33.931567	-114.388777		
Harcuvar Mountains	AZ	33.9416943	-113.5840954		
Tohono O'odham Nation Reservation	AZ	32.150244	-112.044794		
Petrified Forest National Park	AZ	35.0880783	-109.8065057		
Grand Canyon National Park	AZ	36.0555385	-112.1396138		
Yuma County	AZ	32.751436	-113.7674251		
Grand Canyon	AZ	36.112764	-113.9960696		
Lake Mead National Recreation Area	AZ	36.0155363	-114.7374825		
Kaibab Indian Reservation	AZ	36.912811	-112.679467		
Maricopa Indian Reservation	AZ	33.007654	-112.041525		
Gila River Indian Reservation	AZ	33.154332	-111.926685		
San Carlos Reservation	AZ	33.33265	-110.161091		
Hopi Reservation	AZ	35.911726	-110.61555		
Fort Mojave Reservation	AZ	34.942857	-114.609076		
La Posa Plain	AZ	33.7333577	-114.167448		
Havasu National Wildlife Refuge	AZ	34.2819597	-114.0549443		
Sauceda Mountains	AZ	32.5989425	-112.6537627		
Jeddito	AZ	35.7744513	-110.1367899		
Casa Grande	AZ	32.8795022	-111.7573521		
North Komelik	AZ	32.5078406	-111.946523		
Artesia	AZ	32.6981232	-109.7075779		
Aztec	AZ	32.8244925	-113.449913		
Blaisdell	AZ	32.712547	-114.4266129		
Bon	AZ	32.971443	-111.9084699		
Bosque	AZ	32.9664337	-112.5982151		
Brenda	AZ	33.6797515	-113.9446616		
Cane Beds	AZ	36.9463736	-112.8943777		
Canyon Diablo	AZ	35.1627902	-111.117644		
Chambers	AZ	35.1886352	-109.4331614		
Chiawuli Tak	AZ	31.9356327	-111.7809543		
Cibola	AZ	33.3164215	-114.664957		
Coconino	AZ	35.9944279	-112.1982261		
Cortaro	AZ	32.3561848	-111.0884337		
Curtiss	AZ	31.88453	-110.2297962		
Flores	AZ	34.0625279	-112.8215694		
Forepaugh	AZ	33.9714171	-113.046298		
Franconia	AZ	34.7394521	-114.2682879		
Germann	AZ	33.2781073	-111.6693006		
Geronimo	AZ	33.0770031	-110.0350848		
Griffith	AZ	35.0666697	-114.1166191		
Growler	AZ	32.8156012	-113.7990931		
Harris	AZ	35.136945	-114.0838407		
Hibbard	AZ	34.9700233	-110.5184618		
Hillside	AZ	34.4183566	-112.9171296		
Hope	AZ	33.7230865	-113.7024321		
Horn	AZ	32.9447679	-113.5032495		
Kelvin	AZ	33.1114513	-110.9734458		
Kinter	AZ	32.7572679	-114.3980011		
Kofa	AZ	32.8819899	-113.6465878		
Leupp Corner	AZ	35.0741838	-110.8579162		
Lewis Springs	AZ	31.5812057	-110.1420227		
Ligurta	AZ	32.6744925	-114.2949421		
Magma	AZ	33.1317239	-111.4992935		
Manila	AZ	34.9650237	-110.4134598		
Mexican Water	AZ	36.9669462	-109.6378902		
Midway	AZ	32.6336641	-112.8551604		
Mohawk	AZ	32.7267144	-113.7552022		
Olberg	AZ	33.0922784	-111.6862425		
Oracle Junction	AZ	32.5550722	-110.933438		
Penzance	AZ	34.9053033	-110.2548458		
Piedra	AZ	32.9047709	-112.9854509		
Pinta	AZ	35.0822462	-109.630668		
Price	AZ	33.0956173	-111.232341		
Quijotoa	AZ	32.1272924	-112.1381886		
Rock Springs	AZ	34.0489225	-112.1484926		
Round Rock	AZ	36.5130564	-109.4734394		
San Luis	AZ	32.0803504	-111.955128		
San Miguel	AZ	31.6128643	-111.7820604		
Schuchk	AZ	32.1211858	-111.6831754		
Sheldon	AZ	32.8147905	-109.1722877		
Swift Trail Junction	AZ	32.7297898	-109.7139681		
Tanque	AZ	32.6089575	-109.5381267		
Three Points	AZ	32.076745	-111.3137147		
Topock	AZ	34.7183405	-114.4871836		
Two Guns	AZ	35.1177914	-111.0934765		
Walapai	AZ	35.3444389	-113.8841137		
Willaha	AZ	35.7619357	-112.2640586		
Wintersburg	AZ	33.4244845	-112.8679544		
Cave Creek	AZ	33.8333333	-111.9508333		
Ali Chukson	AZ	31.9136888	-111.7992876		
Marble Canyon	AZ	36.8155432	-111.6376612		
Red Rock	AZ	36.6044451	-109.0606531		
Berry	AZ	35.2527739	-113.9718931		
Granite Mountain	AZ	34.6405789	-112.5762841		
Apache County	AZ	35.0083605	-109.3756588		
Cochise County	AZ	31.9320309	-109.742288		
Coconino County	AZ	36.083316	-112.1340584		
Graham County	AZ	33.0167266	-110.0173063		
Mohave County	AZ	36.0833201	-113.7674487		
Pima County	AZ	32.0003512	-112.0034601		
Pinal County	AZ	33.0006165	-111.5173466		
San Cristobal Valley	AZ	32.7889354	-113.7438133		
San Cristobal Wash	AZ	32.7853244	-113.742702		
Agua Fria River	AZ	33.3894873	-112.364602		
Alpine	AZ	33.8481076	-109.1431325		
Amado	AZ	31.7078658	-111.0645359		
Apache Junction	AZ	33.4150485	-111.5495777		
Apache Lake	AZ	33.5908808	-111.3437404		
Aripine	AZ	34.4083712	-110.4309553		
Arivaca	AZ	31.5748121	-111.3323208		
Ash Fork	AZ	35.2250114	-112.4840675		
Aztec Peak	AZ	33.8122702	-110.9053942		
Bartlett Reservoir	AZ	33.8180973	-111.6315277		
Bellemont	AZ	35.2380657	-111.8334974		
Big Chino Valley	AZ	34.83891	-112.4507262		
Bill Williams Mountain	AZ	35.1994578	-112.2048919		
Black Mesa	AZ	34.3869833	-110.0781693		
Black River	AZ	33.7389404	-110.225657		
Blue River	AZ	33.2092294	-109.1917374		
Bradshaw Mountains	AZ	34.3914157	-112.3651662		
Bumble Bee	AZ	34.2008645	-112.1529372		
Burro Creek	AZ	34.5372381	-113.5721542		
Camp Creek	AZ	33.9117056	-111.816813		
Camp Verde	AZ	34.5636358	-111.8543178		
Yavapai-Apache Nation Reservation	AZ	34.619471	-111.896093		
Canelo Hills	AZ	31.5320388	-110.5886941		
Carrizo Creek	AZ	33.7839396	-110.3270485		
Chevelon Creek	AZ	34.9511348	-110.5223508		
Chino Valley	AZ	34.7575227	-112.4537809		
Clarkdale	AZ	34.7711319	-112.0579367		
Clay Springs	AZ	34.3617055	-110.2953961		
Claypool	AZ	33.4111659	-110.8426113		
Clear Creek	AZ	34.988911	-110.6381881		
Cleator	AZ	34.2786409	-112.2329398		
Clifton	AZ	33.0508966	-109.2961826		
Continental	AZ	31.8523066	-110.9748125		
Cornville	AZ	34.7177989	-111.9215438		
Cottonwood	AZ	34.7391876	-112.0098791		
Cutter	AZ	33.3528348	-110.6526053		
Dewey	AZ	34.5300253	-112.2412739		
Eagar	AZ	34.1111581	-109.291475		
East Sunset Mountain	AZ	34.8408557	-110.8998581		
Elden Mountain	AZ	35.2550103	-111.6093282		
Elgin	AZ	31.6598128	-110.5253565		
Escudilla Mountain	AZ	33.9167181	-109.110633		
Flagstaff	AZ	35.1980671	-111.6512725		
Florence Junction	AZ	33.2594994	-111.3370717		
Four Peaks	AZ	33.6772688	-111.327074		
Gisela	AZ	34.1017053	-111.2798554		
Globe	AZ	33.3942223	-110.7864984		
Greens Peak	AZ	34.1119898	-109.5742619		
Happy Jack	AZ	34.7433546	-111.4073685		
Hassayampa River	AZ	33.3222646	-112.7118362		
Heber	AZ	34.4314262	-110.5940135		
Horse Mesa	AZ	34.7939083	-111.6943195		
Horseshoe Reservoir	AZ	33.9836499	-111.7087556		
Huachuca Mountains	AZ	31.4889855	-110.4081372		
Humboldt	AZ	34.5008589	-112.2373846		
Humboldt Mountain	AZ	33.9811492	-111.7984807		
Humphreys Peak	AZ	35.3463971	-111.6784941		
Iron Springs	AZ	34.584746	-112.5698948		
Jakes Corner	AZ	34.0105961	-111.3192999		
Jerome	AZ	34.7489107	-112.1137716		
Juniper Mountains	AZ	35.0655692	-112.9176848		
Kendrick Peak	AZ	35.4080622	-111.8507166		
Kirkland	AZ	34.4175251	-112.7121218		
Lakeside	AZ	34.154488	-109.9734405		
Mount Lemmon	AZ	32.4431311	-110.7884295		
Linden	AZ	34.2850405	-110.1570584		
Little Colorado River	AZ	36.1910972	-111.8037701		
Lochiel	AZ	31.3356566	-110.6239709		
Lonesome Valley	AZ	34.7791891	-112.3729459		
Maple Peak	AZ	33.3470049	-109.1020143		
Markeen Mountain	AZ	33.1033958	-109.3414622		
Mayer	AZ	34.3978054	-112.2362734		
Mazatzal Mountains	AZ	33.7086568	-111.3648531		
McNary	AZ	34.0736564	-109.8570472		
Miami	AZ	33.3992217	-110.8687232		
Miller Peak	AZ	31.3928781	-110.2928573		
Mogollon Rim	AZ	34.2503104	-111.5984772		
Montezuma Castle National Monument	AZ	34.6489111	-111.757928		
Morenci	AZ	33.0786735	-109.3653514		
Mormon Lake	AZ	34.9083543	-111.4632051		
New River Mountains	AZ	34.0311459	-112.0134875		
Nogales	AZ	31.3403775	-110.9342532		
North Peak	AZ	34.150869	-111.4779165		
Nutrioso	AZ	33.953106	-109.2092478		
Oracle	AZ	32.6109054	-110.7709348		
Mount Ord	AZ	33.9375482	-109.6050937		
Pantano	AZ	31.9995262	-110.5800789		
Parks	AZ	35.2605664	-111.9487743		
Patagonia	AZ	31.5395378	-110.7561963		
Patagonia Mountains	AZ	31.4156534	-110.7303619		
Paulden	AZ	34.8855757	-112.4682271		
Payson	AZ	34.2308684	-111.3251355		
Perkinsville	AZ	34.9016864	-112.1912765		
Pine	AZ	34.3844739	-111.4551407		
Pinedale	AZ	34.3075397	-110.2515054		
Pinetop	AZ	34.1258775	-109.9376056		
Prescott	AZ	34.5400242	-112.4685025		
Quivero	AZ	35.532501	-112.1907221		
Ray	AZ	33.1833933	-110.9976141		
Rincon Mountains	AZ	32.1320221	-110.5195227		
Rockinstraw Mountain	AZ	33.6014404	-110.817334		
Rogers Lake	AZ	35.1522337	-111.7862741		
Roosevelt	AZ	33.6675484	-111.1342893		
Saguaro Lake	AZ	33.565601	-111.5368012		
Sahuarita	AZ	31.9575818	-110.955646		
Salt River	AZ	33.3811546	-112.3129333		
San Francisco Mountain	AZ	35.3408416	-111.6832165		
San Francisco River	AZ	32.9761743	-109.3720169		
San Luis Mountains	AZ	31.5403681	-111.3781557		
San Manuel	AZ	32.5997933	-110.6309289		
San Pedro River	AZ	32.9845103	-110.7837169		
Santa Catalina Mountains	AZ	32.430353	-110.7053702		
Santa Cruz River	AZ	32.6978419	-111.5512319		
Santa Maria River	AZ	34.3105753	-113.5263172		
Santa Rita Mountains	AZ	31.8259184	-110.7748066		
Sedona	AZ	34.8697395	-111.7609896		
Show Low Lake	AZ	34.1944872	-110.0042754		
Sierra Ancha	AZ	33.9575429	-111.1867956		
Silver Creek	AZ	34.740031	-110.0387276		
Skull Valley	AZ	34.5053024	-112.6854541		
Snowflake	AZ	34.5133698	-110.0784491		
